sector_id,scenario,rank,title,category,score_delta,from_score,to_score,suggested_lat,suggested_lng
21001A00-,family,1,+1 childcare centre within 400m,childcare,8,92,100,50.834402,4.314322
21001A00-,remote,1,+1 coworking space within 550m,coworking,11,89,100,50.835017,4.302935
21001A00-,senior,1,+1 GP / doctor within 300m,gp,9,90,99,50.838854,4.313323
21001A011,family,1,+1 childcare centre within 400m,childcare,7,82,89,50.836391,4.31947
21001A011,family,2,+1 GP / doctor within 400m,gp,3,82,85,50.841475,4.31947
21001A011,family,3,+1 playground within 250m,playground,3,82,85,50.840925,4.316752
21001A011,remote,1,+1 library within 550m,library,3,92,95,50.840859,4.322807
21001A011,remote,2,+1 GP / doctor within 400m,gp,2,92,94,50.841475,4.31947
21001A011,senior,1,+1 GP / doctor within 300m,gp,21,62,83,50.840844,4.318471
21001A011,senior,2,+1 hospital within 0m,hospital,5,62,67,50.838933,4.315445
21001A011,senior,3,+1 park within 300m,park,4,62,66,50.840844,4.312419
21001A02-,family,1,+1 childcare centre within 400m,childcare,8,91,99,50.833274,4.3166
21001A02-,senior,1,+1 GP / doctor within 300m,gp,12,86,98,50.837727,4.315601
21001A031,family,1,+1 childcare centre within 400m,childcare,10,81,91,50.828612,4.311032
21001A031,family,2,+1 playground within 250m,playground,5,81,86,50.833147,4.308314
21001A031,remote,1,+1 library within 550m,library,3,89,92,50.83308,4.314369
21001A031,senior,1,+1 GP / doctor within 300m,gp,13,69,82,50.833065,4.310033
21001A031,senior,2,+1 transit stop within 250m,transit,7,69,76,50.831154,4.303584
21001A031,senior,3,+1 library within 400m,library,4,69,73,50.832602,4.312542
21001A041,family,1,+1 childcare centre within 400m,childcare,5,93,98,50.827618,4.305339
21001A041,senior,1,+1 GP / doctor within 300m,gp,15,75,90,50.832071,4.304341
21001A041,senior,2,+1 café within 300m,cafe,4,75,79,50.827663,4.302953
21001A041,senior,3,+1 hospital within 0m,hospital,3,75,78,50.83016,4.301315
21001A051,family,1,+1 childcare centre within 400m,childcare,5,91,96,50.833106,4.305555
21001A051,remote,1,+1 coworking space within 550m,coworking,19,78,97,50.833722,4.294169
21001A051,senior,1,+1 park within 300m,park,5,94,99,50.837559,4.298505
21001A07-,family,1,+1 childcare centre within 400m,childcare,10,40,50,50.840878,4.324637
21001A07-,family,2,+1 supermarket within 400m,supermarket,9,40,49,50.839825,4.320611
21001A07-,family,3,+1 GP / doctor within 400m,gp,9,40,49,50.845961,4.324637
21001A07-,remote,1,+1 supermarket within 400m,supermarket,9,59,68,50.839825,4.320611
21001A07-,remote,2,+1 library within 550m,library,8,59,67,50.845345,4.327974
21001A07-,remote,3,+1 pharmacy within 400m,pharmacy,7,59,66,50.847014,4.320611
21001A07-,senior,1,+1 GP / doctor within 300m,gp,27,26,53,50.84533,4.323638
21001A07-,senior,2,+1 supermarket within 300m,supermarket,12,26,38,50.840717,4.320611
21001A07-,senior,3,+1 transit stop within 250m,transit,12,26,38,50.843419,4.317187
21001A08-,family,1,+1 childcare centre within 400m,childcare,10,85,95,50.83045,4.302227
21001A08-,family,2,+1 supermarket within 400m,supermarket,3,85,88,50.829397,4.298203
21001A08-,remote,1,+1 coworking space within 550m,coworking,19,78,97,50.831066,4.290841
21001A08-,remote,2,+1 supermarket within 400m,supermarket,3,78,81,50.829397,4.298203
21001A08-,senior,1,+1 GP / doctor within 300m,gp,10,70,80,50.834903,4.301228
21001A08-,senior,2,+1 supermarket within 300m,supermarket,9,70,79,50.830289,4.298203
21001A08-,senior,3,+1 local shop within 200m,convenience,5,70,75,50.831845,4.296387
21001A10-,family,1,+1 childcare centre within 400m,childcare,4,96,100,50.832921,4.308551
21001A10-,remote,1,+1 coworking space within 550m,coworking,19,81,100,50.833537,4.297164
21001A112,family,1,+1 childcare centre within 400m,childcare,8,86,94,50.831893,4.317882
21001A112,family,2,+1 GP / doctor within 400m,gp,5,86,91,50.836977,4.317882
21001A112,remote,1,+1 GP / doctor within 400m,gp,3,92,95,50.836977,4.317882
21001A112,senior,1,+1 GP / doctor within 300m,gp,24,70,94,50.836346,4.316883
21001A112,senior,2,+1 hospital within 0m,hospital,3,70,73,50.834435,4.313857
21001A112,senior,3,+1 library within 400m,library,3,70,73,50.835883,4.319392
21001A120,family,1,+1 childcare centre within 400m,childcare,3,96,99,50.835965,4.311957
21001A120,remote,1,+1 coworking space within 550m,coworking,13,87,100,50.836581,4.30057
21001A132,family,1,+1 childcare centre within 400m,childcare,10,87,97,50.830784,4.313502
21001A132,family,2,+1 playground within 250m,playground,3,87,90,50.835318,4.310784
21001A132,remote,1,+1 coworking space within 550m,coworking,16,82,98,50.831399,4.302116
21001A142,family,1,+1 childcare centre within 400m,childcare,10,86,96,50.830086,4.308808
21001A142,family,2,+1 playground within 250m,playground,3,86,89,50.83462,4.306091
21001A142,remote,1,+1 coworking space within 550m,coworking,8,90,98,50.830702,4.297423
21001A142,senior,1,+1 library within 400m,library,2,91,93,50.834076,4.310319
21001A152,family,1,+1 playground within 250m,playground,7,86,93,50.837847,4.298382
21001A152,family,2,+1 childcare centre within 400m,childcare,4,86,90,50.833312,4.3011
21001A152,remote,1,+1 coworking space within 550m,coworking,20,75,95,50.833928,4.289713
21001A152,senior,1,+1 park within 300m,park,4,83,87,50.837765,4.294049
21001A152,senior,2,+1 hospital within 0m,hospital,3,83,86,50.835854,4.297075
21001A30-,remote,1,+1 library within 550m,library,7,85,92,50.82655,4.306416
21001A30-,remote,2,+1 café within 400m,cafe,6,85,91,50.821303,4.301234
21001A30-,senior,1,+1 GP / doctor within 300m,gp,12,65,77,50.826535,4.302082
21001A30-,senior,2,+1 hospital within 0m,hospital,6,65,71,50.824624,4.299056
21001A30-,senior,3,+1 library within 400m,library,5,65,70,50.826072,4.30459
21001A31-,family,1,+1 childcare centre within 400m,childcare,10,81,91,50.827841,4.313542
21001A31-,family,2,+1 GP / doctor within 400m,gp,3,81,84,50.832925,4.313542
