sector_id,scenario,score,percentile,breakdown
21001A00-,family,0.915985,77.0,"{""school"": 1.0, ""childcare"": 0.2187, ""supermarket"": 1.0, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 0.9619, ""hospital"": 0.918, ""park"": 1.0, ""playground"": 1.0, ""transit"": 1.0, ""cafe"": 1.0, ""restaurant"": 1.0, ""library"": 1.0, ""sport"": 1.0}"
21001A00-,remote,0.889695,77.4,"{""supermarket"": 1.0, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 0.9619, ""park"": 1.0, ""playground"": 1.0, ""transit"": 1.0, ""cafe"": 1.0, ""library"": 1.0, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 0.458}"
21001A00-,senior,0.898938,87.8,"{""supermarket"": 0.961, ""convenience"": 1.0, ""gp"": 0.6846, ""hospital"": 0.8596, ""park"": 1.0, ""library"": 1.0, ""transit"": 1.0, ""cafe"": 1.0, ""restaurant"": 1.0, ""sport"": 1.0}"
21001A011,family,0.818552,43.4,"{""school"": 1.0, ""childcare"": 0.2551, ""supermarket"": 1.0, ""pharmacy"": 0.9622, ""convenience"": 1.0, ""gp"": 0.6341, ""hospital"": 0.6117, ""park"": 0.9077, ""playground"": 0.5702, ""transit"": 0.9995, ""cafe"": 1.0, ""restaurant"": 1.0, ""library"": 0.6309, ""sport"": 1.0}"
21001A011,remote,0.919349,83.8,"{""supermarket"": 1.0, ""pharmacy"": 0.9622, ""convenience"": 1.0, ""gp"": 0.6341, ""park"": 0.9077, ""playground"": 0.5702, ""transit"": 0.9995, ""cafe"": 1.0, ""library"": 0.6309, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 1.0}"
21001A011,senior,0.619682,42.6,"{""supermarket"": 0.8984, ""convenience"": 1.0, ""gp"": 0.2094, ""hospital"": 0.4192, ""park"": 0.5548, ""library"": 0.1923, ""transit"": 0.8629, ""cafe"": 1.0, ""restaurant"": 1.0, ""sport"": 1.0}"
21001A02-,family,0.908525,74.1,"{""school"": 1.0, ""childcare"": 0.2011, ""supermarket"": 1.0, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 0.9001, ""hospital"": 0.9139, ""park"": 1.0, ""playground"": 1.0, ""transit"": 1.0, ""cafe"": 1.0, ""restaurant"": 1.0, ""library"": 0.9996, ""sport"": 1.0}"
21001A02-,remote,0.960416,92.6,"{""supermarket"": 1.0, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 0.9001, ""park"": 1.0, ""playground"": 1.0, ""transit"": 1.0, ""cafe"": 1.0, ""library"": 0.9996, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 0.8272}"
21001A02-,senior,0.856103,81.7,"{""supermarket"": 1.0, ""convenience"": 1.0, ""gp"": 0.5393, ""hospital"": 0.8527, ""park"": 1.0, ""library"": 0.8453, ""transit"": 1.0, ""cafe"": 1.0, ""restaurant"": 1.0, ""sport"": 1.0}"
21001A031,family,0.80932,40.5,"{""school"": 1.0, ""childcare"": 0.0144, ""supermarket"": 1.0, ""pharmacy"": 0.9928, ""convenience"": 1.0, ""gp"": 0.8868, ""hospital"": 0.8048, ""park"": 0.9608, ""playground"": 0.331, ""transit"": 0.9341, ""cafe"": 1.0, ""restaurant"": 1.0, ""library"": 0.6828, ""sport"": 1.0}"
21001A031,remote,0.891624,78.0,"{""supermarket"": 1.0, ""pharmacy"": 0.9928, ""convenience"": 1.0, ""gp"": 0.8868, ""park"": 0.9608, ""playground"": 0.331, ""transit"": 0.9341, ""cafe"": 1.0, ""library"": 0.6828, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 0.8198}"
21001A031,senior,0.692946,54.2,"{""supermarket"": 1.0, ""convenience"": 0.8191, ""gp"": 0.5152, ""hospital"": 0.6811, ""park"": 0.6822, ""library"": 0.2353, ""transit"": 0.6114, ""cafe"": 0.9257, ""restaurant"": 1.0, ""sport"": 1.0}"
21001A041,family,0.92517,80.3,"{""school"": 0.9999, ""childcare"": 0.4934, ""supermarket"": 1.0, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 0.8463, ""hospital"": 0.7737, ""park"": 1.0, ""playground"": 1.0, ""transit"": 1.0, ""cafe"": 1.0, ""restaurant"": 1.0, ""library"": 0.8823, ""sport"": 1.0}"
21001A041,remote,0.930122,86.5,"{""supermarket"": 1.0, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 0.8463, ""park"": 1.0, ""playground"": 1.0, ""transit"": 1.0, ""cafe"": 1.0, ""library"": 0.8823, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 0.7361}"
21001A041,senior,0.754561,62.8,"{""supermarket"": 1.0, ""convenience"": 1.0, ""gp"": 0.4473, ""hospital"": 0.6352, ""park"": 1.0, ""library"": 0.4845, ""transit"": 1.0, ""cafe"": 0.1752, ""restaurant"": 1.0, ""sport"": 1.0}"
21001A051,family,0.908873,74.4,"{""school"": 1.0, ""childcare"": 0.5179, ""supermarket"": 1.0, ""pharmacy"": 0.9966, ""convenience"": 1.0, ""gp"": 1.0, ""hospital"": 0.8976, ""park"": 0.8722, ""playground"": 0.745, ""transit"": 1.0, ""cafe"": 1.0, ""restaurant"": 1.0, ""library"": 1.0, ""sport"": 1.0}"
21001A051,remote,0.778151,57.3,"{""supermarket"": 1.0, ""pharmacy"": 0.9966, ""convenience"": 1.0, ""gp"": 1.0, ""park"": 0.8722, ""playground"": 0.745, ""transit"": 1.0, ""cafe"": 1.0, ""library"": 1.0, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 0.0324}"
21001A051,senior,0.935009,94.0,"{""supermarket"": 1.0, ""convenience"": 1.0, ""gp"": 1.0, ""hospital"": 0.826, ""park"": 0.4893, ""library"": 1.0, ""transit"": 1.0, ""cafe"": 1.0, ""restaurant"": 1.0, ""sport"": 1.0}"
21001A07-,family,0.404087,4.5,"{""school"": 0.7542, ""childcare"": 0.0, ""supermarket"": 0.06, ""pharmacy"": 0.0651, ""convenience"": 1.0, ""gp"": 0.0, ""hospital"": 0.4527, ""park"": 0.7083, ""playground"": 0.0, ""transit"": 0.6992, ""cafe"": 1.0, ""restaurant"": 1.0, ""library"": 0.0, ""sport"": 1.0}"
21001A07-,remote,0.590616,20.9,"{""supermarket"": 0.06, ""pharmacy"": 0.0651, ""convenience"": 1.0, ""gp"": 0.0, ""park"": 0.7083, ""playground"": 0.0, ""transit"": 0.6992, ""cafe"": 1.0, ""library"": 0.0, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 1.0}"
21001A07-,senior,0.258497,6.8,"{""supermarket"": 0.0, ""convenience"": 0.8581, ""gp"": 0.0, ""hospital"": 0.2461, ""park"": 0.2759, ""library"": 0.0, ""transit"": 0.2666, ""cafe"": 1.0, ""restaurant"": 0.2884, ""sport"": 1.0}"
21001A08-,family,0.853723,54.2,"{""school"": 1.0, ""childcare"": 0.021, ""supermarket"": 0.6964, ""pharmacy"": 0.9998, ""convenience"": 1.0, ""gp"": 0.9412, ""hospital"": 0.713, ""park"": 1.0, ""playground"": 0.949, ""transit"": 0.9999, ""cafe"": 1.0, ""restaurant"": 1.0, ""library"": 1.0, ""sport"": 1.0}"
21001A08-,remote,0.777608,57.1,"{""supermarket"": 0.6964, ""pharmacy"": 0.9998, ""convenience"": 1.0, ""gp"": 0.9412, ""park"": 1.0, ""playground"": 0.949, ""transit"": 0.9999, ""cafe"": 1.0, ""library"": 1.0, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 0.0649}"
21001A08-,senior,0.704394,55.7,"{""supermarket"": 0.2637, ""convenience"": 0.1727, ""gp"": 0.6292, ""hospital"": 0.5496, ""park"": 1.0, ""library"": 1.0, ""transit"": 0.8737, ""cafe"": 1.0, ""restaurant"": 1.0, ""sport"": 1.0}"
